Rider;1st;2nd;3rd;4th;5th;GC;POINTS;KOM;YOUTH
BATTAGLIN Giovanni;1;2;1;0;2;0;0;1;0
MASSIGNAN Imerio;1;2;1;0;1;0;0;2;0
MAYO Iban;1;2;1;0;1;0;0;0;0
GARCÍA ACOSTA José Vicente;1;2;1;0;0;0;0;0;0
PIIL Jakob Storm;1;2;1;0;0;0;0;0;0
PANTANO Jarlinson;1;2;1;0;0;0;0;0;0
DELÉPINE Régis;1;2;0;6;3;0;0;0;0
BRANDS Frans;1;2;0;2;4;0;0;0;0
GONZÁLEZ José Antonio;1;2;0;2;1;0;0;0;0
LEIPHEIMER Levi;1;2;0;1;2;0;0;0;0
DELOOR Gustaaf;1;2;0;1;1;0;0;0;0
CALLENS Norbert;1;2;0;1;0;0;0;0;0
GAUTHIER Jean-Louis;1;2;0;0;3;0;0;0;0
WÜST Marcel;1;2;0;0;1;0;0;0;0
STEVENS Julien;1;2;0;0;0;0;0;0;0
FREULER Urs;1;2;0;0;0;0;0;0;0
NEUVILLE François;1;1;6;5;2;0;0;0;0
PLANCKAERT Joseph;1;1;4;8;2;0;0;0;0
MOREAU Christophe;1;1;4;5;2;0;0;0;0
LEJARRETA Marino;1;1;4;3;5;0;0;0;0
EVENEPOEL Remco;1;1;4;1;1;0;0;0;1
OLANO Abraham;1;1;3;3;0;0;0;0;0
CLEMENS Mathias;1;1;3;1;4;0;0;0;0
ELLIOTT Seamus;1;1;3;1;1;0;0;0;0
LEMÉTEYER Paul;1;1;3;1;1;0;0;0;0
DE WOLF Fons;1;1;3;1;1;0;0;0;0
EKIMOV Viatcheslav;1;1;3;0;7;0;0;0;0
BROCCO Maurice;1;1;3;0;1;0;0;0;0
GALLIEN Pierre;1;1;3;0;0;0;0;0;0
MENGIN Christophe;1;1;3;0;0;0;0;0;0
HINCAPIE George;1;1;2;3;3;0;0;0;0
HUNTER Robert;1;1;2;3;2;0;0;0;0
POTHIER Lucien;1;1;2;2;2;0;0;0;0
LANDIS Floyd;1;1;2;2;1;1;0;0;0
MAHÉ François;1;1;2;2;1;0;0;0;0
POISSON Pascal;1;1;2;2;1;0;0;0;0
RONCONI Aldo;1;1;2;1;2;0;0;0;0
LEVEL Léon;1;1;2;1;1;0;0;0;0
KREKELS Jan;1;1;2;1;1;0;0;0;0
EZQUERRA Federico;1;1;2;1;0;0;0;0;0
GLAUS Gilbert;1;1;2;1;0;0;0;0;0
ENGEL Émile;1;1;2;0;2;0;0;0;0
MULLER Édouard;1;1;2;0;2;0;0;0;0
BAUER Steve;1;1;1;3;4;0;0;0;0
THEUNISSE Gert-Jan;1;1;1;3;2;0;0;1;0
MÉNAGER Constant;1;1;1;3;1;0;0;0;0
PUPPO Henri;1;1;1;3;0;0;0;0;0
FACHLEITNER Édouard;1;1;1;2;1;0;0;0;0
PEVENAGE Rudy;1;1;1;2;1;0;1;0;0
MERVIEL Jules;1;1;1;2;0;0;0;0;0
BERRENDERO Julián;1;1;1;2;0;0;0;1;0
KNAVEN Servais;1;1;1;2;0;0;0;0;0
MAUCLAIR Joseph;1;1;1;1;3;0;0;0;0
DUCAZEAUX Sauveur;1;1;1;1;2;0;0;0;0
SABBADINI Settimo;1;1;1;1;2;0;0;0;0
PÉREZ FRANCÉS José;1;1;1;1;2;0;0;0;0
SCIANDRI Maximilian;1;1;1;1;2;0;0;0;0
BILBAO Pello;1;1;1;1;1;0;0;0;0
MULLER Joseph;1;1;1;1;0;0;0;0;0
ROSSI Giulio;1;1;1;1;0;0;0;0;0
JULES Pascal;1;1;1;1;0;0;0;0;0
DIERCKXSENS Ludo;1;1;1;1;0;0;0;0;0
DELANNOY Louis;1;1;1;0;4;0;0;0;0
HÉZARD Yves;1;1;1;0;4;0;0;0;0
BRUNERO Giovanni;1;1;1;0;2;0;0;0;0
DANCELLI Michele;1;1;1;0;2;0;0;0;0
GAY Federico;1;1;1;0;1;0;0;0;0
SCHUTZ Edy;1;1;1;0;1;0;0;0;0
LE DROGO Ferdinand;1;1;1;0;0;0;0;0;0
PAGÈS Edmond;1;1;1;0;0;0;0;0;0
SORGELOOS Edgard;1;1;1;0;0;0;0;0;0
QUEHEILLE Marcel;1;1;1;0;0;0;0;0;0
MELCKENBEECK Frans;1;1;1;0;0;0;0;0;0
DERBOVEN Willy;1;1;1;0;0;0;0;0;0
DELCROIX Ludo;1;1;1;0;0;0;0;0;0
BITTINGER René;1;1;1;0;0;0;0;0;0
ZANINI Stefano;1;1;1;0;0;0;0;0;0
DESSEL Cyril;1;1;1;0;0;0;0;0;0
HIRSCHI Marc;1;1;1;0;0;0;0;0;0
GALL Felix;1;1;1;0;0;0;0;0;0
FIDANZA Giovanni;1;1;0;4;0;0;0;0;0
BUYSSE Jules;1;1;0;2;1;0;0;0;0
ROGERS Michael;1;1;0;2;1;0;0;0;0
PIDCOCK Thomas;1;1;0;2;1;0;0;0;0
GESTRI Eugenio;1;1;0;2;0;0;0;0;0
ZILVERBERG Huub;1;1;0;2;0;0;0;0;0
KÄMNA Lennard;1;1;0;2;0;0;0;0;0
HUYSE Omer;1;1;0;1;3;0;0;0;0
VAN NESTE Willy;1;1;0;1;2;0;0;0;0
LAURITZEN Dag-Otto;1;1;0;1;1;0;0;0;0
MAASSEN Frans;1;1;0;1;1;0;0;0;0
HAUSSLER Heinrich;1;1;0;1;1;0;0;0;0
MASTROTTO Raymond;1;1;0;1;0;0;0;0;0
CHAPPE Georges;1;1;0;1;0;0;0;0;0
DEN HERTOG Fedor;1;1;0;1;0;0;0;0;0
MARTENS René;1;1;0;1;0;0;0;0;0
LAMMERTS Johan;1;1;0;1;0;0;0;0;0
NEVENS Jan;1;1;0;1;0;0;0;0;0
BETTINI Paolo;1;1;0;1;0;0;0;0;0
LAISEKA Roberto;1;1;0;1;0;0;0;0;0
DE VLAEMINCK Eric;1;1;0;0;4;0;0;0;0
IMPEY Daryl;1;1;0;0;2;0;0;0;0
DUYNDAM Leo;1;1;0;0;1;0;0;0;0
BARTEAU Vincent;1;1;0;0;1;0;0;0;0
SAVOLDELLI Paolo;1;1;0;0;1;0;0;0;0
BÄCKSTEDT Magnus;1;1;0;0;1;0;0;0;0
KONRAD Patrick;1;1;0;0;1;0;0;0;0
AZZINI Ernesto;1;1;0;0;0;0;0;0;0
CARDONA Salvador;1;1;0;0;0;0;0;0;0
LE DROGO Paul;1;1;0;0;0;0;0;0;0
WIERINCKX Robert;1;1;0;0;0;0;0;0;0
IDÉE Émile;1;1;0;0;0;0;0;0;0
BAFFERT Émile;1;1;0;0;0;0;0;0;0
ROSSI Giovanni;1;1;0;0;0;0;0;0;0
NOVAK Anatole;1;1;0;0;0;0;0;0;0
VANDEN BERGHEN Willy;1;1;0;0;0;0;0;0;0
ZILIOLI Italo;1;1;0;0;0;0;0;0;0
DEMIERRE Serge;1;1;0;0;0;0;0;0;0
MENTHÉOUR Pierre-Henri;1;1;0;0;0;0;0;0;0
PELIER Joël;1;1;0;0;0;0;0;0;0
MÄCHLER Erich;1;1;0;0;0;0;0;0;0
CUBINO Laudelino;1;1;0;0;0;0;0;0;0
STEPHENS Neil;1;1;0;0;0;0;0;0;0
PODENZANA Massimo;1;1;0;0;0;0;0;0;0
MASSI Rodolfo;1;1;0;0;0;0;0;0;0
GONZÁLEZ Aitor;1;1;0;0;0;0;0;0;0
MENCHOV Denis;1;1;0;0;0;0;0;0;1
FLECHA Juan Antonio;1;1;0;0;0;0;0;0;0
ARVESEN Kurt-Asle;1;1;0;0;0;0;0;0;0
VANENDERT Jelle;1;1;0;0;0;0;0;0;0
BRAECKEVELDT Adolphe;1;0;5;1;1;0;0;0;0
ESCARTÍN Fernando;1;0;4;5;1;0;0;0;0
CAÑARDO Mariano;1;0;4;0;2;0;0;0;0
DIOT Maurice;1;0;3;3;2;0;0;0;0
TACCA Pierre;1;0;3;2;1;0;0;0;0
BERGAMASCHI Vasco;1;0;3;1;3;0;0;0;0
GALLOPIN Tony;1;0;3;1;3;0;0;0;0
JÄRMANN Rolf;1;0;3;1;0;0;0;0;0
GUERRA Pietro;1;0;3;0;1;0;0;0;0
LOROÑO Jesús;1;0;2;4;2;0;0;1;0
FAANHOF Henk;1;0;2;3;0;0;0;0;0
HAMPSTEN Andrew;1;0;2;1;4;0;0;0;1
GOROSPE Julián;1;0;2;1;2;0;0;0;0
CASTAING Francis;1;0;2;1;2;0;0;0;0
PINTENS Georges;1;0;2;1;1;0;0;0;0
YATES Adam;1;0;2;1;1;0;0;0;1
DOMÍNGUEZ Manuel Jorge;1;0;2;1;0;0;0;0;0
BERZIN Evgeni;1;0;2;1;0;0;0;0;0
GAYANT Martial;1;0;2;0;2;0;0;0;0
WOODS Michael;1;0;2;0;2;0;0;0;0
VAN RYSSELBERGHE Bernard;1;0;2;0;1;0;0;0;0
CASPER Jimmy;1;0;2;0;1;0;0;0;0
NAVARDAUSKAS Ramūnas;1;0;2;0;1;0;0;0;0
ARU Fabio;1;0;2;0;1;0;0;0;0
O'CONNOR Ben;1;0;2;0;1;0;0;0;0
MEINI Ettore;1;0;2;0;0;0;0;0;0
LITSCHI Karl;1;0;2;0;0;0;0;0;0
MALLÉJAC Jean;1;0;2;0;0;0;0;0;0
BINGGELI René;1;0;2;0;0;0;0;0;0
BAKELANTS Jan;1;0;2;0;0;0;0;0;0
VUILLERMOZ Alexis;1;0;2;0;0;0;0;0;0
EGLI Paul;1;0;1;4;3;0;0;0;0
VALLET Bernard;1;0;1;4;3;0;0;1;0
HUOT Marcel;1;0;1;3;2;0;0;0;0
JASKUŁA Zenon;1;0;1;3;1;0;0;0;0
MADIOT Marc;1;0;1;2;1;0;0;0;0
DUMOULIN Samuel;1;0;1;2;1;0;0;0;0
GIANELLO Dante;1;0;1;2;0;0;0;0;0
GONZÁLEZ Aurelio;1;0;1;2;0;0;0;1;0
PLANCKAERT Walter;1;0;1;2;0;0;0;0;0
HALGAND Patrice;1;0;1;2;0;0;0;0;0
FREY Mogens;1;0;1;1;2;0;0;0;0
BATTESINI Fabio;1;0;1;1;1;0;0;0;0
ANTOINE Alphonse;1;0;1;1;1;0;0;0;0
SERGEANT Marc;1;0;1;1;1;0;0;0;0
HAMBURGER Bo;1;0;1;1;1;0;0;0;0
SOLER Juan Mauricio;1;0;1;1;1;0;0;1;0
GODINAT André;1;0;1;1;0;0;0;0;0
KEMP Willy;1;0;1;1;0;0;0;0;0
DURANTE Adriano;1;0;1;1;0;0;0;0;0
EARLEY Martin;1;0;1;1;0;0;0;0;0
LINO Pascal;1;0;1;1;0;0;0;0;0
TRAVERSONI Mario;1;0;1;1;0;0;0;0;0
BOBER Stanislas;1;0;1;0;2;0;0;0;0
VERBRUGGHE Rik;1;0;1;0;2;0;0;0;0
FEILLU Brice;1;0;1;0;2;0;0;0;0
DAVID Wilfried;1;0;1;0;1;0;0;0;0
CENGHIALTA Bruno;1;0;1;0;1;0;0;0;0
USHAKOV Serhiy;1;0;1;0;1;0;0;0;0
NARDELLO Daniele;1;0;1;0;1;0;0;0;0
TOTSCHNIG Georg;1;0;1;0;1;0;0;0;0
ZABRISKIE David;1;0;1;0;1;0;0;0;0
GARATE Juan Manuel;1;0;1;0;1;0;0;0;0
ASTARLOZA Mikel;1;0;1;0;1;0;0;0;0
LUTSENKO Alexey;1;0;1;0;1;0;0;0;0
POELS Wout;1;0;1;0;1;0;0;0;0
PEDROLI René;1;0;1;0;0;0;0;0;0
BOURLON Albert;1;0;1;0;0;0;0;0;0
TARCHINI Pietro;1;0;1;0;0;0;0;0;0
PEZZI Luciano;1;0;1;0;0;0;0;0;0
KETELEER Désiré;1;0;1;0;0;0;0;0;0
DECAUX Georges;1;0;1;0;0;0;0;0;0
QUENNEHEN Bernard;1;0;1;0;0;0;0;0;0
DEJOUHANNET Michel;1;0;1;0;0;0;0;0;0
FEZZARDI Giuseppe;1;0;1;0;0;0;0;0;0
LE BIGAUT Pierre;1;0;1;0;0;0;0;0;0
SIMON Pascal;1;0;1;0;0;0;0;0;0
PIRARD Frits;1;0;1;0;0;0;0;0;0
RIBEIRO Mauro;1;0;1;0;0;0;0;0;0
CABELLO Francisco;1;0;1;0;0;0;0;0;0
PLAZA Rubén;1;0;1;0;0;0;0;0;0
BODNAR Maciej;1;0;1;0;0;0;0;0;0
LAMPAERT Yves;1;0;1;0;0;0;0;0;0
HOULE Hugo;1;0;1;0;0;0;0;0;0
BROCHARD Laurent;1;0;0;4;1;0;0;0;0
OTAÑO Luis;1;0;0;3;1;0;0;0;0
SIMON Jérôme;1;0;0;3;1;0;0;0;0
ROUS Didier;1;0;0;3;0;0;0;0;0
SCHEPERS Alfons;1;0;0;2;3;0;0;0;0
BERNAL Egan;1;0;0;2;2;1;0;0;1
DHAENENS Rudy;1;0;0;2;1;0;0;0;0
RAYMOND Christian;1;0;0;2;0;0;0;0;0
SAMYN José;1;0;0;2;0;0;0;0;0
CONTI Roberto;1;0;0;2;0;0;0;0;0
SØRENSEN Nicki;1;0;0;2;0;0;0;0;0
POPOVYCH Yaroslav;1;0;0;2;0;0;0;0;1
YATES Sean;1;0;0;1;3;0;0;0;0
MORVAN Joseph;1;0;0;1;2;0;0;0;0
SCHMITZ Jean-Pierre;1;0;0;1;2;0;0;0;0
CATIEAU José;1;0;0;1;2;0;0;0;0
LELEU Philippe;1;0;0;1;2;0;0;0;0
VAN DER POEL Mathieu;1;0;0;1;2;0;0;0;0
JAKOBSEN Fabio;1;0;0;1;2;0;0;0;0
DERYCKE Germain;1;0;0;1;1;0;0;0;0
MUTTER Stefan;1;0;0;1;1;0;0;0;0
MARTIN Raymond;1;0;0;1;1;0;0;1;0
RÜTTIMANN Niki;1;0;0;1;1;0;0;0;0
HEPPNER Jens;1;0;0;1;1;0;0;0;0
GESCHKE Simon;1;0;0;1;1;0;0;0;0
JUNGELS Bob;1;0;0;1;1;0;0;0;0
KUSS Sepp;1;0;0;1;1;0;0;0;0
ORECCHIA Michele;1;0;0;1;0;0;0;0;0
VAN DIJCK Edward;1;0;0;1;0;0;0;0;0
LEONI Adolfo;1;0;0;1;0;0;0;0;0
BAEYENS Armand;1;0;0;1;0;0;0;0;0
GIMMI Kurt;1;0;0;1;0;0;0;0;0
VERSTRAETEN Eddy;1;0;0;1;0;0;0;0;0
PARECCHINI Aldo;1;0;0;1;0;0;0;0;0
WYNANTS Ludwig;1;0;0;1;0;0;0;0;0
PEDERSEN Jørgen Vagn;1;0;0;1;0;0;0;0;0
VERHOEVEN Nico;1;0;0;1;0;0;0;0;0
ECHAVE Federico;1;0;0;1;0;0;0;0;0
ARNOULD Dominique;1;0;0;1;0;0;0;0;0
BORTOLAMI Gianluca;1;0;0;1;0;0;0;0;0
RODRÍGUEZ Nélson;1;0;0;1;0;0;0;0;0
AGNOLUTTO Christophe;1;0;0;1;0;0;0;0;0
WAUTERS Marc;1;0;0;1;0;0;0;0;0
ZAKARIN Ilnur;1;0;0;1;0;0;0;0;0
TEUNISSEN Mike;1;0;0;1;0;0;0;0;0
LÓPEZ Miguel Ángel;1;0;0;1;0;0;0;0;0
RODRÍGUEZ Carlos;1;0;0;1;0;0;0;0;0
TORRES Pedro;1;0;0;0;2;0;0;1;0
PIEPOLI Leonardo;1;0;0;0;2;0;0;0;0
DESBIENS Laurent;1;0;0;0;2;0;0;0;0
PÉGLION Louis;1;0;0;0;1;0;0;0;0
STORME Lucien;1;0;0;0;1;0;0;0;0
LÉVÊQUE Roger;1;0;0;0;1;0;0;0;0
BOURLÈS Jean;1;0;0;0;1;0;0;0;0
PROOST Louis;1;0;0;0;1;0;0;0;0
VAN ESPEN Cees;1;0;0;0;1;0;0;0;0
BELLONE Gilbert;1;0;0;0;1;0;0;0;0
DUMONT Jean;1;0;0;0;1;0;0;0;0
ROTTIERS Karel;1;0;0;0;1;0;0;0;0
MICHAUD Jacques;1;0;0;0;1;0;0;0;0
VAN HOUWELINGEN Adri;1;0;0;0;1;0;0;0;0
MANDERS Henri;1;0;0;0;1;0;0;0;0
SERRANO Marcos Antonio;1;0;0;0;1;0;0;0;0
DENNIS Rohan;1;0;0;0;1;0;0;0;0
POLITT Nils;1;0;0;0;1;0;0;0;0
CAMPENAERTS Victor;1;0;0;0;1;0;0;0;0
LAESER Charles;1;0;0;0;0;0;0;0;0
MICHELETTO Giovanni;1;0;0;0;0;0;0;0;0
VAN LERBERGHE Henri;1;0;0;0;0;0;0;0;0
VIGNOLI Adriano;1;0;0;0;0;0;0;0;0
GENERATI Walter;1;0;0;0;0;0;0;0;0
OBERBECK Willi;1;0;0;0;0;0;0;0;0
SCHULTE Gerrit;1;0;0;0;0;0;0;0;0
MASSON JR Émile;1;0;0;0;0;0;0;0;0
MASSAL Henri;1;0;0;0;0;0;0;0;0
PRAS Jacques;1;0;0;0;0;0;0;0;0
MOLINÈS Marcel;1;0;0;0;0;0;0;0;0
DOS REIS Custodio;1;0;0;0;0;0;0;0;0
DIGGELMANN Walter;1;0;0;0;0;0;0;0;0
DEKKERS Hans;1;0;0;0;0;0;0;0;0
ISOTTI Livio;1;0;0;0;0;0;0;0;0
VARNAJO Robert;1;0;0;0;0;0;0;0;0
HINSEN Jos;1;0;0;0;0;0;0;0;0
BOVER Miguel;1;0;0;0;0;0;0;0;0
TROCHUT André;1;0;0;0;0;0;0;0;0
LE DISSEZ André;1;0;0;0;0;0;0;0;0
SCHEPENS Julien;1;0;0;0;0;0;0;0;0
CERAMI Pino;1;0;0;0;0;0;0;0;0
DE PRA Tommaso;1;0;0;0;0;0;0;0;0
MUGNAINI Marcello;1;0;0;0;0;0;0;0;0
ERRANDONEA José María;1;0;0;0;0;0;0;0;0
DESVAGES André;1;0;0;0;0;0;0;0;0
IZIER Maurice;1;0;0;0;0;0;0;0;0
DÍAZ Mariano;1;0;0;0;0;0;0;0;0
MATIGNON Pierre;1;0;0;0;0;0;0;0;0
VASSEUR Alain;1;0;0;0;0;0;0;0;0
MORI Primo;1;0;0;0;0;0;0;0;0
SIMONETTI Mauro;1;0;0;0;0;0;0;0;0
ARMANI Luciano;1;0;0;0;0;0;0;0;0
LABOURDETTE Bernard;1;0;0;0;0;0;0;0;0
TOLLET Claude;1;0;0;0;0;0;0;0;0
POPPE Henk;1;0;0;0;0;0;0;0;0
MOLINÉRIS Jean-Luc;1;0;0;0;0;0;0;0;0
CAMPANER Francis;1;0;0;0;0;0;0;0;0
VIEJO José Luis;1;0;0;0;0;0;0;0;0
MATHIS Hubert;1;0;0;0;0;0;0;0;0
NAZABAL José;1;0;0;0;0;0;0;0;0
QUILFEN Bernard;1;0;0;0;0;0;0;0;0
MESLET Alain;1;0;0;0;0;0;0;0;0
MAAS Jo;1;0;0;0;0;0;0;0;0
PARSANI Serge;1;0;0;0;0;0;0;0;0
DE SCHOENMAECKER Jos;1;0;0;0;0;0;0;0;0
LOOS Ludo;1;0;0;0;0;0;0;0;0
GAIGNE Dominique;1;0;0;0;0;0;0;0;0
MAGRINI Riccardo;1;0;0;0;0;0;0;0;0
CHEVALLIER Philippe;1;0;0;0;0;0;0;0;0
VAN DEN HAUTE Ferdi;1;0;0;0;0;0;0;0;0
FERREIRA Paulo José dos Santos;1;0;0;0;0;0;0;0;0
DUCROT Maarten;1;0;0;0;0;0;0;0;0
SIMON Régis;1;0;0;0;0;0;0;0;0
RUÍZ CABESTANY Pello;1;0;0;0;0;0;0;0;0
SARRAPIO José Angel;1;0;0;0;0;0;0;0;0
FRISON Herman;1;0;0;0;0;0;0;0;0
PIERCE Jeff;1;0;0;0;0;0;0;0;0
WELTZ Johnny;1;0;0;0;0;0;0;0;0
MARTÍNEZ Juan;1;0;0;0;0;0;0;0;0
DELION Gilles;1;0;0;0;0;0;0;0;1
LIETTI Marco;1;0;0;0;0;0;0;0;0
MURGUIALDAY Javier;1;0;0;0;0;0;0;0;0
HARMELING Rob;1;0;0;0;0;0;0;0;0
CHIOCCIOLI Franco;1;0;0;0;0;0;0;0;0
DE CLERCQ Peter;1;0;0;0;0;0;0;0;0
ROSCIOLI Fabio;1;0;0;0;0;0;0;0;0
RINCÓN Oliverio;1;0;0;0;0;0;0;0;0
POLI Eros;1;0;0;0;0;0;0;0;0
SEIGNEUR Eddy;1;0;0;0;0;0;0;0;0
SAUGRAIN Cyril;1;0;0;0;0;0;0;0;0
GONZÁLEZ José Jaime;1;0;0;0;0;0;0;0;0
VOSKAMP Bart;1;0;0;0;0;0;0;0;0
MONDINI Gianpaolo;1;0;0;0;0;0;0;0;0
OTXOA Javier;1;0;0;0;0;0;0;0;0
CÁRDENAS Félix Rafael;1;0;0;0;0;0;0;0;0
BAGUET Serge;1;0;0;0;0;0;0;0;0
BERTOGLIATI Rubens;1;0;0;0;0;0;0;0;0
KROON Karsten;1;0;0;0;0;0;0;0;0
FRIGO Dario;1;0;0;0;0;0;0;0;0
SIMONI Gilberto;1;0;0;0;0;0;0;0;0
LASTRAS Pablo;1;0;0;0;0;0;0;0;0
BERNUCCI Lorenzo;1;0;0;0;0;0;0;0;0
WEENING Pieter;1;0;0;0;0;0;0;0;0
KESSLER Matthias;1;0;0;0;0;0;0;0;0
CALZATI Sylvain;1;0;0;0;0;0;0;0;0
TOSATTO Matteo;1;0;0;0;0;0;0;0;0
GERDEMANN Linus;1;0;0;0;0;0;0;0;0
BURGHARDT Marcus;1;0;0;0;0;0;0;0;0
PAULINHO Sérgio Miguel;1;0;0;0;0;0;0;0;0
BOOM Lars;1;0;0;0;0;0;0;0;0
KADRI Blel;1;0;0;0;0;0;0;0;0
ŠTYBAR Zdeněk;1;0;0;0;0;0;0;0;0
CALMEJANE Lilian;1;0;0;0;0;0;0;0;0
FRAILE Omar;1;0;0;0;0;0;0;0;0
PETERS Nans;1;0;0;0;0;0;0;0;0
MARTÍNEZ Daniel Felipe;1;0;0;0;0;0;0;0;0
MERLIER Tim;1;0;0;0;0;0;0;0;0
CLARKE Simon;1;0;0;0;0;0;0;0;0
LAFAY Victor;1;0;0;0;0;0;0;0;0
HINDLEY Jai;1;0;0;0;0;0;0;0;0
MEEUS Jordi;1;0;0;0;0;0;0;0;0
VAUQUELIN Kévin;1;0;0;0;0;0;0;0;0
TURGIS Anthony;1;0;0;0;0;0;0;0;0
KLÖDEN Andreas;0;6;4;3;4;0;0;0;0
TIBERGHIEN Hector;0;6;1;8;4;0;0;0;0
MERTENS Jan;0;4;6;3;6;0;0;0;0
PICOT Fernand;0;4;2;3;1;0;0;0;0
KIRCHEN Kim;0;4;1;4;2;0;0;0;0
MARCAILLOU Sylvain;0;4;1;3;3;0;0;0;0
MARINELLI Jacques;0;4;1;2;3;0;0;0;0
LENAERS Victor;0;4;1;1;2;0;0;0;0
SWERTS Roger;0;4;1;0;1;0;0;0;0
LEALI Bruno;0;4;1;0;0;0;0;0;0
DESMET Gilbert;0;3;7;7;8;0;0;0;0
WENGLER Heinz;0;3;4;1;2;0;0;0;0
PAOLINI Enrico;0;3;4;1;2;0;0;0;0
BERNAUDEAU Jean-René;0;3;4;1;1;0;0;0;1
HOEVENAERS Jos;0;3;3;4;5;0;0;0;0
CIOLEK Gerald;0;3;3;2;2;0;0;0;0
GOSS Matthew;0;3;3;1;0;0;0;0;0
SIMPSON Tom;0;3;2;1;2;0;0;0;0
BINI Aldo;0;3;2;1;1;0;0;0;0
KNUDSEN Knut;0;3;2;1;0;0;0;0;0
SAINT Gérard;0;3;2;0;1;0;0;0;0
DECAUP Maurice;0;3;2;0;0;0;0;0;0
FOUCHER André;0;3;1;3;1;0;0;0;0
COLBRELLI Sonny;0;3;1;2;3;0;0;0;0
SCHELLENBERG Max;0;3;1;2;2;0;0;0;0
GRAIN Michel;0;3;1;1;1;0;0;0;0
THIÉTARD Louis;0;3;0;6;3;0;0;0;0
SIMON François;0;3;0;2;1;0;0;0;0
HENDRICKX Marcel;0;3;0;1;3;0;0;0;0
CLEMENS Pierre;0;3;0;1;1;0;0;0;0
FUERTE Anselmo;0;3;0;1;1;0;0;0;0
FUGLSANG Jakob;0;3;0;1;1;0;0;0;0
DECOCK Roger;0;3;0;0;0;0;0;0;0
CUVELIER Georges;0;2;5;1;2;0;0;0;0
GAVAZZI Pierino;0;2;5;1;0;0;0;0;0
VERBEECK Frans;0;2;4;1;1;0;0;0;0
COQUARD Bryan;0;2;3;5;1;0;0;0;0
HENDRICKX Albert;0;2;3;1;0;0;0;0;0
TACKAERT William;0;2;3;0;2;0;0;0;0
CORNET Henri;0;2;2;6;4;0;0;0;0
PORTE Richie;0;2;2;4;5;0;0;0;0
LIECKENS Jozef;0;2;2;4;2;0;0;0;0
VAINŠTEINS Romāns;0;2;2;3;1;0;0;0;0
VICINI Mario;0;2;2;2;3;0;0;0;0
ADRIAENSENS Jan;0;2;2;1;2;0;0;0;0
MANZANEQUE Jesús;0;2;2;1;1;0;0;0;0
BAUHAUS Phil;0;2;2;1;0;0;0;0;0
MOTTA Gianni;0;2;2;0;3;0;0;0;0
MINTKIEWICZ Robert;0;2;2;0;1;0;0;0;0
VAN DEN BERGHE René;0;2;2;0;0;0;0;0;0
BOUCQUET Walter;0;2;1;3;1;0;0;0;0
VAN ROOSBROECK Gustaaf;0;2;1;3;1;0;0;0;0
VAN DAELE Joseph;0;2;1;3;0;0;0;0;0
DUCLOS-LASSALLE Gilbert;0;2;1;3;0;0;0;0;0
BRAMBILLA Pierre;0;2;1;2;2;0;0;1;0
RENSHAW Mark;0;2;1;2;2;0;0;0;0
PERINI Giancarlo;0;2;1;1;3;0;0;0;0
MARIE Yvan;0;2;1;1;2;0;0;0;0
COGAN Pierre;0;2;1;1;2;0;0;0;0
VAN DEN BOSSCHE Martin;0;2;1;1;2;0;0;0;0
MAGNIEN Emmanuel;0;2;1;1;2;0;0;0;0
MALIEPAARD Bas;0;2;1;1;0;0;0;0;0
GANDARIAS Andrés;0;2;1;1;0;0;0;0;0
BUENAHORA Hernan;0;2;1;1;0;0;0;0;0
DEAN Julian;0;2;1;1;0;0;0;0;0
GARIN César;0;2;1;0;2;0;0;0;0
BERNARD René;0;2;1;0;1;0;0;0;0
VAN BREENEN Hein;0;2;1;0;1;0;0;0;0
BALLAN Alessandro;0;2;1;0;1;0;0;0;0
LAUWERS Stan;0;2;1;0;0;0;0;0;0
GAY Georges;0;2;1;0;0;0;0;0;0
FORÉ Noël;0;2;1;0;0;0;0;0;0
OTTENBROS Harm;0;2;0;3;1;0;0;0;0
KÜNG Stefan;0;2;0;3;0;0;0;0;0
LE GUÉVEL Lucien;0;2;0;2;1;0;0;0;0
LE CALVEZ Léon;0;2;0;1;3;0;0;0;0
GONZÁLEZ DE GALDEANO Igor;0;2;0;1;2;0;0;0;0
DE CALUWÉ Edgard;0;2;0;1;1;0;0;0;0
KLABIŃSKI Edward;0;2;0;1;1;0;0;0;0
MEZGEC Luka;0;2;0;1;1;0;0;0;0
BIDOT Jean;0;2;0;1;0;0;0;0;0
RINALDI Gaspard;0;2;0;1;0;0;0;0;0
IN 'T VEN Willy;0;2;0;1;0;0;0;0;0
FRANCIONI Wilmo;0;2;0;1;0;0;0;0;0
SERPELLINI Marco;0;2;0;1;0;0;0;0;0
NILSSON Sven-Åke;0;2;0;0;3;0;0;0;0
CICCONE Giulio;0;2;0;0;2;0;0;1;0
BAZZO Pierre;0;2;0;0;1;0;0;0;0
STUMPF Remig;0;2;0;0;1;0;0;0;0
ANDREU Frankie;0;2;0;0;1;0;0;0;0
AERTS Mario;0;2;0;0;1;0;0;0;0
VILLE Maurice;0;2;0;0;0;0;0;0;0
MOLLIN Maurice;0;2;0;0;0;0;0;0;0
JOMAUX Léon;0;2;0;0;0;0;0;0;0
BALDASSARI Jean;0;2;0;0;0;0;0;0;0
LUTE Cees;0;2;0;0;0;0;0;0;0
GÓMEZ Antonio;0;2;0;0;0;0;0;0;0
